wall_type,wall_ext_rigid_in,roof_type,roof_deck_rigid_in,window_rsi,window_shgc,slab_rsi,furnace_efficiency_pct,eui_kwh_m2_yr,tedi_kwh_m2_yr,heating_demand_kwh_yr,peak_heating_load_w,peak_cooling_load_w,error
WA1,4.45,RA1,1.47,0.626,0.246,2.313,89.3,53.87189408843332,33.538486466289484,3148.29807112975,5730.107910156,3306.035400391,
WA2,0.18,RA1,1.31,0.955,0.212,0.877,91.0,58.46965053784447,39.46831343757481,4611.298289244594,6406.377441406,3387.929443359,
WA2,2.7,RA1,1.67,1.282,0.541,0.773,87.2,56.0652764557225,36.19446570638187,3845.9578480767664,5936.017578125,3313.102294922,
WA2,1.29,RA1,4.58,0.592,0.371,1.301,85.8,56.2926254081598,36.23365762187772,3918.270402301283,5968.152832031,3333.195068359,
WA2,4.38,RA1,3.22,1.376,0.37,1.813,94.1,52.65326985474919,32.83313474887204,2760.6844097085473,5573.043945313,3279.949462891,
WA2,4.23,RA1,0.27,0.705,0.33,0.561,84.0,56.636753713913805,36.301964063063686,4027.7300379444064,5936.783203125,3300.815673828,
WA1,1.67,RA2,3.81,0.828,0.367,0.905,84.5,57.9550005236035,37.88587603175992,4447.0290832798455,6164.612304688,3358.089111328,
WA1,3.2,RA1,1.47,0.916,0.321,2.802,91.7,54.23341236970621,34.18124471784849,3263.2869492772966,5851.19140625,3329.222412109,
WA1,5.06,RA2,4.66,0.706,0.214,1.186,84.6,54.333527995546824,33.90578205876017,3295.1312959694383,5635.259765625,3281.043212891,
WA1,1.28,RA2,3.0,1.296,0.489,0.729,82.4,59.45933340303297,39.09541435577101,4926.092668940874,6313.416992188,3375.756591797,
WA2,5.39,RA2,2.4,0.697,0.649,1.7,81.5,53.63145268203353,32.48883294263143,3071.8204777352344,5514.111328125,3268.884033203,
